sample	dataset	CMS_network	CMS_RFclassifier	CMS_final_network_plus_RFclassifier_in_nonconsensus_samples
col001	gse33113	CMS2	CMS2	CMS2
col002	gse33113	CMS2	CMS2	CMS2
col003	gse33113	CMS1	CMS1	CMS1
col004	gse33113	CMS1	CMS1	CMS1
col005	gse33113	CMS2	CMS2	CMS2
col006	gse33113	CMS2	CMS2	CMS2
col007	gse33113	CMS2	CMS2	CMS2
col008	gse33113	CMS1	CMS1	CMS1
col009	gse33113	CMS1	CMS1	CMS1
col010	gse33113	CMS2	CMS2	CMS2
col011	gse33113	CMS2	CMS2	CMS2
col012	gse33113	CMS4	CMS4	CMS4
col013	gse33113	CMS1	CMS1	CMS1
col014	gse33113	CMS4	CMS4	CMS4
col015	gse33113	CMS2	CMS2	CMS2
col016	gse33113	CMS1	CMS1	CMS1
col017	gse33113	CMS2	CMS2	CMS2
col018	gse33113	CMS2	CMS2	CMS2
col019	gse33113	CMS3	CMS3	CMS3
col020	gse33113	CMS1	CMS1	CMS1
col021	gse33113	CMS3	CMS3	CMS3
col022	gse33113	CMS3	CMS3	CMS3
col023	gse33113	CMS2	CMS2	CMS2
col024	gse33113	CMS1	CMS1	CMS1
col026	gse33113	CMS4	CMS4	CMS4
col033	gse33113	UNK	CMS3	CMS3
col034	gse33113	CMS2	CMS2	CMS2
col035	gse33113	CMS1	CMS1	CMS1
col036	gse33113	CMS4	CMS4	CMS4
col037	gse33113	CMS4	CMS4	CMS4
col038	gse33113	CMS2	CMS2	CMS2
col039	gse33113	UNK	CMS3	CMS3
col040	gse33113	CMS1	CMS1	CMS1
col041	gse33113	CMS2	NOLBL	CMS2
col044	gse33113	UNK	NOLBL	NOLBL
col045	gse33113	CMS4	CMS4	CMS4
col046	gse33113	CMS2	CMS2	CMS2
col047	gse33113	CMS2	NOLBL	CMS2
col048	gse33113	CMS2	CMS2	CMS2
col049	gse33113	CMS2	CMS2	CMS2
col050	gse33113	CMS4	CMS4	CMS4
col051	gse33113	CMS2	CMS2	CMS2
col052	gse33113	UNK	CMS4	CMS4
col053	gse33113	CMS4	CMS4	CMS4
col054	gse33113	CMS3	CMS3	CMS3
col055	gse33113	CMS2	CMS2	CMS2
col056	gse33113	UNK	NOLBL	NOLBL
col057	gse33113	CMS2	CMS2	CMS2
col058	gse33113	CMS1	CMS1	CMS1
col059	gse33113	CMS4	CMS4	CMS4
col060	gse33113	CMS1	CMS1	CMS1
col061	gse33113	UNK	CMS4	CMS4
col062	gse33113	CMS4	CMS4	CMS4
col063	gse33113	UNK	NOLBL	NOLBL
col064	gse33113	CMS4	CMS4	CMS4
col065	gse33113	CMS2	CMS2	CMS2
col066	gse33113	CMS4	CMS4	CMS4
col067	gse33113	CMS1	CMS1	CMS1
col068	gse33113	CMS3	CMS3	CMS3
col069	gse33113	CMS4	NOLBL	CMS4
col070	gse33113	CMS2	CMS2	CMS2
col072	gse33113	CMS4	CMS4	CMS4
col073	gse33113	CMS3	CMS3	CMS3
col074	gse33113	CMS2	CMS2	CMS2
col075	gse33113	CMS4	CMS4	CMS4
col076	gse33113	CMS2	CMS2	CMS2
col077	gse33113	CMS3	CMS3	CMS3
col078	gse33113	CMS2	CMS2	CMS2
col079	gse33113	UNK	NOLBL	NOLBL
col080	gse33113	UNK	CMS4	CMS4
col081	gse33113	CMS1	CMS1	CMS1
col082	gse33113	CMS4	CMS4	CMS4
col083	gse33113	CMS2	CMS2	CMS2
col084	gse33113	CMS1	CMS1	CMS1
col085	gse33113	CMS1	CMS1	CMS1
col086	gse33113	CMS2	CMS2	CMS2
col089	gse33113	UNK	NOLBL	NOLBL
col090	gse33113	CMS2	CMS2	CMS2
col091	gse33113	CMS1	CMS1	CMS1
col092	gse33113	CMS4	CMS4	CMS4
col093	gse33113	CMS1	CMS1	CMS1
col094	gse33113	CMS2	CMS2	CMS2
col095	gse33113	CMS2	CMS2	CMS2
col096	gse33113	CMS1	CMS1	CMS1
col097	gse33113	CMS2	CMS2	CMS2
col098	gse33113	CMS4	CMS4	CMS4
col099	gse33113	CMS3	CMS3	CMS3
col100	gse33113	CMS1	CMS1	CMS1
col101	gse33113	CMS2	NOLBL	CMS2
col102	gse33113	CMS2	CMS2	CMS2
COLON321	kfsyscc	CMS1	CMS1	CMS1
COLON322	kfsyscc	CMS3	CMS3	CMS3
COLON016	kfsyscc	UNK	CMS1	CMS1
COLON017	kfsyscc	UNK	NOLBL	NOLBL
COLON018	kfsyscc	CMS2	CMS2	CMS2
COLON019	kfsyscc	CMS2	CMS2	CMS2
