Tumor_Sample_Barcode	purity_facets	purity_impact
P-0000119-T01-IM3	0.704251517471392	0.7
P-0000241-T01-IM3	0.3212770431505	0.6
P-0000493-T01-IM3	NA	0.3
P-0000511-T01-IM3	NA	0.2
P-0000520-T01-IM3	NA	0.6
P-0000526-T01-IM3	0.58942421710591	0.6
P-0000552-T01-IM3	NA	0.7
P-0000561-T01-IM3	NA	0.6
P-0000562-T01-IM3	NA	0.3
P-0000616-T01-IM3	0.643279132908294	0.8
P-0000616-T02-IM3	0.579729767198126	0.4
P-0000625-T01-IM3	NA	0.3
P-0000635-T01-IM3	NA	0.25
P-0000674-T01-IM3	NA	0.65
P-0000675-T02-IM3	0.3	0.4
P-0000678-T01-IM3	NA	0.4
P-0000682-T01-IM3	0.407202201985113	0.2
P-0000687-T01-IM3	NA	0.6
P-0000695-T01-IM3	NA	0.4
P-0000699-T01-IM3	NA	0.8
P-0000703-T01-IM3	NA	0.5
P-0000714-T01-IM3	NA	0.5
P-0000721-T01-IM3	0.372150518432138	0.5
P-0000736-T01-IM3	NA	0.6
P-0000737-T01-IM3	0.473926721955145	0.4
P-0000738-T01-IM3	NA	0.7
P-0000739-T01-IM3	0.6687563110893	0.3
P-0000739-T02-IM5	0.520199279549937	0.25
P-0000742-T01-IM3	NA	0.4
P-0000744-T01-IM3	NA	0.4
P-0000745-T01-IM3	NA	0.3
P-0000754-T01-IM3	NA	0.25
P-0000757-T01-IM3	NA	0.35
P-0000762-T01-IM3	NA	0.5
P-0000763-T01-IM3	NA	0.7
P-0000769-T01-IM3	NA	0.6
P-0000772-T01-IM3	NA	0.15
P-0000777-T01-IM3	NA	0.6
P-0000788-T01-IM3	NA	0.3
P-0000798-T01-IM3	NA	0.5
P-0000802-T01-IM3	NA	0.9
P-0000827-T01-IM3	NA	0.15
P-0000843-T01-IM3	NA	0.4
P-0000854-T01-IM3	NA	0.35
P-0000860-T01-IM3	NA	0.15
P-0000862-T01-IM3	NA	0.4
P-0000868-T01-IM3	NA	0.6
P-0000869-T01-IM3	NA	0.5
P-0000874-T01-IM3	NA	0.35
P-0000885-T01-IM3	NA	0.3
P-0000911-T01-IM3	NA	0.7
P-0000933-T01-IM3	NA	0.2
P-0000940-T01-IM3	0.47462044562389	0.15
P-0000979-T01-IM3	NA	0.6
P-0000982-T01-IM3	NA	0.15
P-0000982-T02-IM5	NA	0.6
P-0000988-T01-IM3	0.559016533973352	0.3
P-0000994-T01-IM3	NA	0.15
P-0000997-T01-IM3	NA	0.5
P-0000997-T02-IM3	NA	0.4
P-0001017-T01-IM3	NA	0.35
P-0001020-T01-IM3	NA	0.4
P-0001054-T01-IM3	0.552862830540855	0.25
P-0001054-T02-IM3	0.615003379579899	0.4
P-0001079-T01-IM3	NA	0.25
P-0001104-T01-IM3	0.579638568667121	0.4
P-0001104-T02-IM3	0.495420556046567	NA
P-0001104-T03-IM3	0.463981270991133	0.3
P-0001104-T05-IM3	0.600659416851569	0.3
P-0001150-T01-IM3	NA	0.5
P-0001151-T01-IM3	0.223016441668289	0.4
P-0001170-T01-IM3	0.483819373633212	0.3
P-0001190-T01-IM3	NA	0.3
P-0001192-T01-IM3	NA	0.5
P-0001200-T01-IM3	NA	0.15
P-0001215-T01-IM3	NA	0.2
P-0001227-T01-IM3	NA	0.1
P-0001237-T01-IM3	NA	0.4
P-0001287-T01-IM3	NA	0.25
P-0001289-T01-IM3	NA	0.25
P-0001295-T01-IM3	0.480569533810685	0.3
P-0001302-T01-IM3	NA	0.25
P-0001316-T01-IM3	NA	0.2
P-0001317-T01-IM3	NA	0.1
P-0001318-T01-IM3	0.358838529513976	0.4
P-0001346-T01-IM3	0.582977944160953	0.3
P-0001347-T02-IM5	NA	0.2
