## obtained from https://www.synapse.org/#!Synapse:syn1713813
tumor_id	muts	covd_bps	muts_per_mbp	tcga_type
TCGA-DU-6392-01A-11D-1705-08	15379	36656569	419.542811003398	lgg
TCGA-AG-A002-01	12313	30706100	400.995241987748	coadread
TCGA-05-4396-01A-21D-1855-08	13802	37516741	367.889097829686	luad
TCGA-AP-A0LM-01A-11D-A122-09	14204	39383719	360.656645960733	ucec
TCGA-AP-A059-01A-21D-A122-09	12292	39122100	314.195812596972	ucec
TCGA-B5-A11E-01A-11D-A10M-09	11082	36943123	299.974639393643	ucec
TCGA-AA-A010-01A-01W-A00E-09	7761	26158096	296.695906307554	coadread
TCGA-B5-A0JY-01A-11D-A10B-09	11274	38992149	289.135128202347	ucec
TCGA-AP-A056-01A-11W-A027-09	9264	36100921	256.6139517604	ucec
TCGA-BS-A0UV-01A-11D-A10B-09	9975	39072542	255.294370148735	ucec
TCGA-AP-A051-01A-21W-A027-09	8987	35414045	253.769373139951	ucec
TCGA-BS-A0UF-01A-11D-A10B-09	9140	39092846	233.802368852859	ucec
TCGA-AX-A0J0-01A-11D-A117-09	8532	37440810	227.87968529527	ucec
TCGA-BR-6452-01A-12D-1800-08	8083	36604749	220.818342450593	stad
TCGA-D1-A103-01A-11D-A10M-09	8084	39493836	204.690169878662	ucec
TCGA-AX-A05Z-01A-11W-A027-09	6987	35578900	196.38043896804	ucec
TCGA-AA-A00N-01A-02W-A00E-09	4643	25768426	180.181746452034	coadread
TCGA-EE-A2MR-06A-11D-A196-08	6181	35770143	172.79774363776	skcm
TCGA-D1-A17Q-01A-11D-A12J-09	6525	38921148	167.646648038234	ucec
TCGA-AX-A0J1-01A-11W-A062-09	5415	35364221	153.120861901638	ucec
TCGA-BR-4184-01A-01D-1126-08	4706	35872951	131.185192988444	stad
TCGA-CG-5721-01A-11D-1600-08	4610	36339169	126.860358309239	stad
TCGA-GN-A266-06A-11D-A197-08	4665	36895900	126.436812762394	skcm
TCGA-EE-A29D-06A-11D-A197-08	4604	36913982	124.72238838931	skcm
TCGA-BR-4298-01A-01D-1126-08	4616	37612755	122.724325830426	stad
TCGA-EE-A29E-06A-11D-A197-08	4285	36732093	116.655481624747	skcm
TCGA-AA-3984-01A-02W-0995-10	4053	36354837	111.484477292526	coadread
TCGA-18-3409-01A-01D-0983-08	3872	35577021	108.834295035551	lusc
TCGA-EE-A181-06A-11D-A196-08	3602	36247564	99.3721950528869	skcm
TCGA-AA-3977-01A-01W-0995-10	3643	37377222	97.4657774191993	coadread
TCGA-EE-A3JD-06A-11D-A20D-08	3644	37496049	97.1835725945419	skcm
TCGA-EE-A2MS-06A-11D-A197-08	3470	36772169	94.3648442385871	skcm
TCGA-BR-4361-01A-01D-1158-08	3372	36617236	92.0877807380109	stad
TCGA-BR-4200-01A-01D-1126-08	3139	37129578	84.5417634426117	stad
TCGA-AG-3892-01A-01W-1073-09	2246	29066625	77.2707529683959	coadread
TCGA-EE-A2MJ-06A-11D-A197-08	2762	36562746	75.5413720840333	skcm
