Tumor_Sample_Barcode	frac	sample	min_alt
TCGA-02-0003-01A-01D-1490-08	0.999939646327479	Tumor	Min depth = 5
TCGA-02-0033-01A-01D-1490-08	0.984730520852194	Tumor	Min depth = 5
TCGA-02-0047-01A-01D-1490-08	0.999939646327479	Tumor	Min depth = 5
TCGA-02-0055-01A-01D-1490-08	0.999879292654958	Tumor	Min depth = 5
TCGA-02-2466-01A-01W-0837-08	0.486209185828958	Tumor	Min depth = 5
TCGA-02-2470-01A-01D-1494-08	0.999879292654958	Tumor	Min depth = 5
TCGA-02-2483-01A-01D-1494-08	0.86601484700344	Tumor	Min depth = 5
TCGA-02-2485-01A-01D-1494-08	0.955640050697085	Tumor	Min depth = 5
TCGA-02-2486-01A-01D-1494-08	0.969762810066993	Tumor	Min depth = 5
TCGA-04-1331-01A-01W-0486-08	0.999939646327479	Tumor	Min depth = 5
TCGA-04-1336-01A-01W-0486-08	0.307864083529483	Tumor	Min depth = 5
TCGA-04-1341-01A-01W-0486-08	0.999939646327479	Tumor	Min depth = 5
TCGA-04-1342-01A-01W-0486-08	0.999939646327479	Tumor	Min depth = 5
TCGA-04-1343-01A-01W-0486-08	0.433520429718148	Tumor	Min depth = 5
TCGA-04-1346-01A-01W-0486-08	0.389884724485485	Tumor	Min depth = 5
TCGA-04-1348-01A-01W-0492-08	0.33743738306476	Tumor	Min depth = 5
TCGA-04-1349-01A-01W-0492-08	0.658036091496168	Tumor	Min depth = 5
TCGA-04-1353-01A-01D-1526-09	0.999939646327479	Tumor	Min depth = 5
TCGA-04-1356-01A-01W-0492-08	0.999939646327479	Tumor	Min depth = 5
TCGA-04-1357-01A-01W-0492-08	0.999939646327479	Tumor	Min depth = 5
TCGA-04-1360-01A-01W-0492-08	0.999939646327479	Tumor	Min depth = 5
TCGA-04-1361-01A-01W-0492-08	0.491580662683324	Tumor	Min depth = 5
TCGA-04-1362-01A-01W-0492-08	0.917074053956183	Tumor	Min depth = 5
TCGA-04-1367-01A-01W-0492-08	0.999939646327479	Tumor	Min depth = 5
TCGA-04-1369-01A-02D-1526-09	0.999879292654958	Tumor	Min depth = 5
TCGA-04-1516-01A-01D-1526-09	0.999879292654958	Tumor	Min depth = 5
TCGA-04-1542-01A-01W-0553-09	0.999879292654958	Tumor	Min depth = 5
TCGA-04-1638-01A-01W-0639-09	0.999879292654958	Tumor	Min depth = 5
TCGA-04-1644-01B-01D-1526-09	0.999637877964874	Tumor	Min depth = 5
TCGA-04-1646-01A-01W-0639-09	0.999879292654958	Tumor	Min depth = 5
TCGA-04-1648-01A-01W-0639-09	0.999939646327479	Tumor	Min depth = 5
TCGA-04-1649-01A-01W-0639-09	0.999879292654958	Tumor	Min depth = 5
TCGA-04-1651-01A-01W-0639-09	0.999939646327479	Tumor	Min depth = 5
TCGA-04-1652-01A-01W-0639-09	0.999939646327479	Tumor	Min depth = 5
TCGA-04-1655-01A-01W-0633-09	0.999879292654958	Tumor	Min depth = 5
TCGA-05-4244-01A-01D-1105-08	0.617297362544511	Tumor	Min depth = 5
TCGA-05-4249-01A-01D-1105-08	0.6774096203754	Tumor	Min depth = 5
TCGA-05-4250-01A-01D-1105-08	0.912668235862152	Tumor	Min depth = 5
TCGA-05-4382-01A-01D-1931-08	0.966865833785986	Tumor	Min depth = 5
TCGA-05-4384-01A-01D-1753-08	0.636429476733659	Tumor	Min depth = 5
