symbol	role	covd_bps	genome	N	N_trunc	N_missense	tmb	tmb_trunc	tmb_missense
ABL1	Oncogene	11074752	Nuclear	109	12	52	9.84220685032044	1.08354570829216	4.69536473593269
ACVR1	Oncogene	4993920	Nuclear	44	2	37	8.81071382801487	0.400486992182494	7.40900935537614
AGO2	n/a	8421120	Nuclear	101	15	45	11.9936540507676	1.781235750114	5.343707250342
AKT1	Oncogene	4709952	Nuclear	46	0	40	9.76655388420094	0	8.49265555147908
AKT2	Oncogene	4719744	Nuclear	56	8	35	11.8650503078133	1.69500718683047	7.41565644238332
AKT3	Oncogene	4700160	Nuclear	64	10	48	13.6165577342048	2.1275871459695	10.2124183006536
ALK	Oncogene	15872832	Nuclear	192	15	113	12.0961401216872	0.94501094700681	7.1190824674513
ALOX12B	n/a	6873984	Nuclear	64	7	42	9.3104668268067	1.01833230918198	6.10999385509189
AMER1	TSG	11123712	Nuclear	180	64	89	16.1816487158244	5.75347509895977	8.00092630949093
ANKRD11	TSG	26085888	Nuclear	254	22	158	9.73706549686942	0.843367877681603	6.05691475789515
APC	TSG	27848448	Nuclear	885	654	187	31.7791497752406	23.4842530542456	6.71491639318644
AR	Oncogene	9018432	Nuclear	116	9	70	12.8625463938742	0.997956185731621	7.76188144457928
ARAF	Oncogene	5943744	Nuclear	76	16	46	12.7865533912631	2.69190597710803	7.73922968418559
ARID1A	TSG	22384512	Nuclear	372	243	101	16.6186334551318	10.8557202408522	4.51204833055999
ARID1B	TSG	22032000	Nuclear	195	39	100	8.85076252723312	1.77015250544662	4.53885257806826
ARID2	TSG	17978112	Nuclear	188	47	113	10.4571603514318	2.61429008785795	6.28542084953081
ARID5B	TSG	11642688	Nuclear	136	32	78	11.6811512942716	2.74850618688743	6.6994838305381
ASXL1	TSG	15099264	Nuclear	146	28	81	9.66934547273298	1.85439502216797	5.36449988555734
ASXL2	TSG	14061312	Nuclear	114	23	70	8.10735157572778	1.63569373896262	4.9781983359732
ATM	TSG	29934144	Nuclear	338	101	203	11.2914536657537	3.37407343266606	6.78155353298227
ATR	TSG	25899840	Nuclear	207	41	133	7.9923273657289	1.58302136229413	5.13516685817364
ATRX	TSG	24411456	Nuclear	298	53	207	12.2073832875843	2.17111179275829	8.47962530379179
AURKA	Oncogene	3955968	Nuclear	29	3	20	7.33069630492461	0.758347893612891	5.05565262408594
AURKB	Oncogene	3378240	Nuclear	28	0	22	8.28833949038553	0	6.51226674244577
AXIN1	TSG	8450496	Nuclear	100	32	49	11.8336249138512	3.78675997243239	5.79847620778709
AXIN2	TSG	8264448	Nuclear	97	25	50	11.7370210327417	3.02500542080971	6.05001084161943
AXL	Oncogene	8763840	Nuclear	96	5	69	10.9541023113156	0.570526162047687	7.87326103625808
B2M	TSG	1175040	Nuclear	49	27	21	41.7007080610022	22.9779411764706	17.8717320261438
BABAM1	n/a	3231360	Nuclear	22	1	17	6.8082788671024	0.309467221231927	5.26094276094276
BAP1	TSG	7148160	Nuclear	138	49	71	19.3056674724684	6.85491091413734	9.93262601844391
BARD1	TSG	7618176	Nuclear	56	11	35	7.3508409362031	1.44391518389704	4.59427558512694
BBC3	TSG	2565504	Nuclear	11	3	4	4.28765653844235	1.16936087412064	1.55914783216085
BCL10	TSG	2291328	Nuclear	20	8	9	8.72856265013128	3.49142506005251	3.92785319255907
BCL2	Oncogene	2350080	Nuclear	13	1	5	5.5317265795207	0.4255174291939	2.1275871459695
BCL2L1	n/a	2291328	Nuclear	25	1	13	10.9107033126641	0.436428132506564	5.67356572258533
BCL2L11	TSG	1948608	Nuclear	23	5	15	11.8032975334187	2.56593424639538	7.69780273918613
