pathway	pval	padj	ES	NES	nMoreExtreme	size	geneset	type	genes
TNFA_signaling_via_NFKB	1.08247366882801e-05	5.97807243032557e-05	-0.654871288862045	-1.76287078886221	0	119	h.all	Colorectal Cancer	KLF2,NFKBIA,KLF4,FOS,PLAUR,TNIP1,EHD1,PDE4B,RNF19B,TUBB2A,JUNB,IER2,DUSP5,SERPINE1,GADD45B,DUSP1,BHLHE40,ICAM1,B4GALT1,SLC2A6,DDX58,PER1,PLAU,LDLR,SOCS3,TNFAIP8,FOSL2,SLC2A3,BCL6,DENND5A,TNFAIP2,KDM6B,BCL3,NINJ1,FOSB,HBEGF,CSF1,PFKFB3,KLF9,EGR1,PTGER4,MAFF,SNN,ZFP36,CEBPD,CD83,TNIP2,RCAN1,TIPARP,MAP2K3,IRF1
Hypoxia	1.09613065877453e-05	5.97807243032557e-05	-0.716882087498678	-1.91258410260294	0	107	h.all	Colorectal Cancer	NDRG1,ISG20,EXT1,MT1E,ENO2,MT2A,DDIT4,CHST2,HMOX1,KDELR3,FOS,CXCR4,NR3C1,PLAUR,S100A4,ALDOA,LOX,SERPINE1,MYH9,DUSP1,BHLHE40,P4HA1,LDHA,ALDOC,ETS1,NAGK,FOSL2,NDST1,HK1,SLC2A3,TPI1,SIAH2,PFKFB3,RORA,HEXA,DDIT3,TES,MAFF,ILVBL,ENO1,ZFP36,LXN,HSPA5,ANXA2,TIPARP
Myogenesis	1.14202183545749e-05	5.97807243032557e-05	-0.757605527019026	-1.96172597205252	0	78	h.all	Colorectal Cancer	GSN,TGFB1,MYH11,FHL1,TAGLN,LSP1,MYLK,GPX3,OCEL1,TPM2,COL6A2,SCHIP1,CKB,AEBP1,PDLIM7,MEF2C,SPARC,GADD45B,MYH9,BHLHE40,SLC6A8,IGFBP7,FLII
Interferon_gamma_response	1.06842172742425e-05	5.97807243032557e-05	-0.719996081860433	-1.95524455804697	0	135	h.all	Colorectal Cancer	UPP1,ISG20,OAS2,IRF7,MT2A,VAMP5,TXNIP,IL10RA,C1R,NFKBIA,SERPING1,C1S,ST3GAL5,CSF2RB,CMPK2,CMKLR1,PARP12,IL4R,PDE4B,MYD88,MX1,RNF31,RIPK1,IL18BP,CD86,FGL2,ICAM1,ITGB7,DDX58,TOR1B,STAT2,IRF9,SOCS3,HLA-DQA1,IFIT3,IFI44,SPPL2A,DDX60,IFI35,TRIM26,TRAFD1,EIF4E3,IFI30,TNFAIP2,GBP4,SRI,SAMD9L,VAMP8,SAMHD1,TRIM21,CD74,STAT1,MVP,TNFSF10,APOL6,SECTM1,IFNAR2,LAP3,OAS3,IRF1,TRIM14,JAK2,CCL5,PTPN6,HLA-DRB1,BTG1
Apical_junction	1.11694404110354e-05	5.97807243032557e-05	-0.687572227801129	-1.81061336574615	0	92	h.all	Colorectal Cancer	GNAI1,CERCAM,TSPAN4,MSN,GNAI2,FBN1,JAM3,EVL,ACTB,VCAN,PECAM1,NLGN2,ZYX,MYH9,BMP1,CD86,ICAM1,B4GALT1,VWF,PARD6G,MAPK11,ARPC2,CD34,SIRPA,LIMA1,VCL,MYH10,TAOK2,IKBKG,ACTN1,CLDN15,RRAS,MYL12B,PIK3R3,CAP1,ITGB1,TUBG1
Complement	1.10147928668201e-05	5.97807243032557e-05	-0.714554526615194	-1.90001110760837	0	103	h.all	Colorectal Cancer	APOC1,FN1,IRF7,ITGAM,PSEN1,WAS,CD59,GNAI2,C1R,MMP14,SERPING1,C1S,CPM,TIMP2,FCER1G,CSRP1,SH2B3,RHOG,PLAUR,EHD1,SPOCK2,CTSD,LGMN,DUSP5,SERPINE1,GNG2,SIRT6,DOCK4,CTSB,DYRK2,LGALS3,ANXA5,PRKCD,GNB2,DUSP6,NOTCH4,S100A13,TIMP1,CD55,LYN,MAFF,GRB2,HSPA5,LAP3,PPP4C,IRF1,APOBEC3G,JAK2,CTSO,USP14,CCL5
EMT	1.16302059709477e-05	5.97807243032557e-05	-0.835839162413224	-2.13266182264784	0	68	h.all	Colorectal Cancer	TGFB1,LGALS1,FN1,EMP3,TAGLN,MYLK,PLOD1,ITGA5,ENO2,TPM2,EFEMP2,CD59,COL6A2,BASP1,ACTA2,MMP14,VIM,FBN1,TIMP3,NID2,SERPINH1,PDGFRB,WIPF1,SPARC,PLAUR,VCAN,FLNA,CAPG,LOX,SERPINE1,GADD45B,BMP1,SLC6A8,FSTL3,ECM2,QSOX1,ECM1
Inflammatory_response	1.14044591435251e-05	5.97807243032557e-05	-0.754349920826748	-1.95601722018701	0	79	h.all	Colorectal Cancer	IRF7,CD14,SLC31A2,EMP3,ITGA5,PSEN1,CHST2,IL10RA,MMP14,NFKBIA,C5AR1,CMKLR1,STAB1,IL1R1,IL4R,RHOG,PLAUR,PDE4B,CYBB,SERPINE1,SCARF1,ICAM1,LDLR,CD82,P2RX4,TIMP1,SRI,HBEGF,CSF1,GNA15,SGMS2,CD55,PTGER4,LYN
Coagulation	1.19561448606511e-05	5.97807243032557e-05	-0.789335985831421	-1.96820005336577	0	56	h.all	Colorectal Cancer	GSN,APOC1,FN1,ANXA1,C1R,MMP14,FBN1,SERPING1,C1S,TIMP3,CRIP2,CSRP1,SPARC,PECAM1,LGMN,CTSK,SERPINE1,BMP1,USP11,RAC1,VWF,PLAU,THBD,CTSB,RAPGEF3,GNB2,DUSP6,S100A13,TIMP1,THBS1,ARF4
KRAS_signaling_up	1.16302059709477e-05	5.97807243032557e-05	-0.758397056369768	-1.93506660283607	0	68	h.all	Colorectal Cancer	TSPAN13,MAFB,ITGB2,GYPC,LAPTM5,IL10RA,CD37,KLF4,ENG,LCP1,CMKLR1,CXCR4,FCER1G,PLAUR,PECAM1,FLT4,IKZF1,LAT2,EMP1,TRIB2,PLAU,ETS1
Allograft_rejection	4.50323670137912e-05	0.000204692577335414	-0.665807627017693	-1.74348007968361	3	87	h.all	Colorectal Cancer	TGFB1,SPI1,ITGB2,IRF7,CD4,WAS,IL16,HCLS1,FGR,STAB1,IL4R,FLNA,ITGAL,CAPG,F2R,CD86,ICAM1,ETS1,HLA-DQA1,APBB1,SRGN,BCL3,TIMP1,CSF1,LYN,HLA-DMB,HLA-DRA,CD74,STAT1,HLA-DOA,IFNAR2,CCND2,JAK2,CCL5,GBP2,PTPN6
IL6_JAK_STAT3_signaling	6.34067160393629e-05	0.000264194650164012	-0.757792793385116	-1.79264778643613	4	38	h.all	Colorectal Cancer	TNFRSF1A,TGFB1,CD14,HMOX1,CSF2RB,PDGFC,IL1R1,IL4R,MYD88,STAT2,IRF9,SOCS3,IL17RA,BAK1,CSF1,LTBR,STAT1,GRB2
Apoptosis	0.000186579449919881	0.000670165191777625	-0.616440458854943	-1.6433488915909	16	106	h.all	Colorectal Cancer	ISG20,GSN,CD14,GPX3,ENO2,PSEN1,ANXA1,HMOX1,TXNIP,TIMP3,PDGFRB,TIMP2,NEDD9,GADD45B,F2R,EMP1,ADD1,RETSAT,PPP2R5B,LGALS3,GPX4,SLC20A1,TIMP1,DAP,CYLD,GNA15,BMF,DDIT3,TNFSF10,RARA,CCND2,IRF1,MADD,DNAJA1,BNIP3L,PEA15
IL2_STAT5_signaling	0.000187646253697735	0.000670165191777625	-0.627034261181851	-1.66449340349329	16	101	h.all	Colorectal Cancer	NDRG1,IL10RA,ST3GAL4,IL4R,GABARAPL1,GLIPR2,CAPG,GADD45B,CD86,BHLHE40,EMP1,FGL2,TWSG1,P4HA1,SYT11,SWAP70,ECM1,PRKCH,AHNAK,SLC2A3,GPX4,P2RX4,DENND5A,PLEC,GBP4,CSF1,MAPKAPK2,RORA,ADAM19,MAFF,SYNGR2,XBP1,SOCS2,FURIN,CD83,TNFSF10,MYO1E,CCND2,GALM,SLC39A8,CKAP4
MYC_targets_v1	0.000253678335870117	0.000845594452900389	0.528373447464172	2.00390605308449	0	179	h.all	Colorectal Cancer	PABPC4,CLNS1A,NAP1L1,RSL1D1,CCT3,NOP56,RPL34,RPL6,EEF1B2,HNRNPA1,NPM1,SSB,RPL22,RPL14,NOLC1,ACP1,GNL3,HNRNPA3,MRPL9,RPS3,SERBP1,UBA2,PRDX3,EIF3D,PCNA,C1QBP,FBL,HSPD1,RPS6,PRPS2,PRDX4,RPL18,PABPC1,DDX18,DEK,BUB3,IMPDH2,RPS2,SSBP1,SNRPB2,SNRPD2,EIF4E,DDX21,PSMD14,HNRNPU,EIF3J,VBP1,TFDP1,CCT7,EIF1AX,HNRNPD,SMARCC1,CCT4,VDAC1,HDGF,HPRT1,NME1,ABCE1,SET,XPO1,YWHAQ,CAD,PSMA1,RAD23B,HNRNPC,PHB,NCBP1,GSPT1,RPLP0,RRM1,CANX,CCT2,KPNB1,PA2G4,NOP16,NHP2,SF3B3,HSPE1,RPS5,UBE2E1,MAD2L1,DHX15,YWHAE
