pathway	pval	padj	ES	NES	nMoreExtreme	size	geneset	type	genes
TNFA_signaling_via_NFKB	7.27399691582531e-05	0.00363699845791265	0.790804886296507	1.73426152059715	4	119	h.all	Adrenocortical Carcinoma	SLC2A6,SERPINE1,BTG2,IER2,SNN,SERPINB8,RELB,FOS,IFIH1,JUNB,ATF3,LITAF,RHOB,BTG3,EGR1,B4GALT5,LDLR,NFIL3,ZC3H12A,BIRC2,KLF2,PDLIM5,KLF6
Cholesterol_homeostasis	0.000822249093107618	0.0205562273276904	0.831922550803124	1.67707007723424	50	55	h.all	Adrenocortical Carcinoma	SQLE,MVD,LSS,ACSS2,FDPS,FDFT1,ALDOC,NSDHL,FASN,MVK,HSD17B7,TMEM97,ATF3,DHCR7,HMGCS1,LDLR,NFIL3,SREBF2,HMGCR,PDK3,TRIB3
MTORC1_signaling	0.00155179644904236	0.025863274150706	0.691953868677106	1.56633312809625	110	166	h.all	Adrenocortical Carcinoma	SQLE,BTG2,ACLY,TFRC,TMEM97,INSIG1,IFRD1,DHCR7,GLRX,GOT1,HSPA5,SORD,HMGCS1,IDH1,LDLR,NFIL3,SLC9A3R1,SLC37A4,HSPD1,LDHA,ENO1,HMGCR,TRIB3,GLA,HMBS,TUBA4A,ELOVL6,HSPE1,GPI,PPIA,SCD,SERPINH1,SHMT2,M6PR,IMMT,PPA1,PSMG1,AURKA,MTHFD2
Hypoxia	0.00308984195975813	0.0386230244969767	0.728904123642283	1.58106729299164	208	107	h.all	Adrenocortical Carcinoma	SERPINE1,PLIN2,ALDOC,GALK1,FOS,BCL2,ATF3,ISG20,GLRX,UGP2,HSPA5,MT2A,GRHPR,NFIL3,SCARB1,TPST2,BNIP3L,SLC37A4,LDHA,ENO1,PDK3,SAP30,KLF6,CHST2,MT1E,S100A4
Interferon_gamma_response	0.0058613623009788	0.058613623009788	0.686720389419035	1.52471094021943	408	135	h.all	Adrenocortical Carcinoma	IFI44,ST3GAL5,IFIH1,STAT1,IFIT3,MX1,OAS3,CASP7,ISG20,MT2A,C1R,CASP3,CASP4,PTPN6,ARL4A,ISOC1,ICAM1,SOCS3,STAT2,UPP1,IL4R,TAP1,TRIM25,MTHFD2,UBE2L6,EIF2AK2,PFKP,IRF2,PNP,PNPT1,CASP1,SERPING1
Interferon_alpha_response	0.0108523274977456	0.0904360624812131	0.742058598315872	1.54347441541844	697	72	h.all	Adrenocortical Carcinoma	OAS1,IFI44,IFIH1,IFIT3,MX1,ISG20,STAT2,IL4R,TAP1,TRIM25,UBE2L6,EIF2AK2,IRF2,PNPT1,CASP1,DDX60
G2M_checkpoint	0.0181794478083263	0.115245734242967	0.662563540231031	1.45809493285655	1254	123	h.all	Adrenocortical Carcinoma	SQLE,KPNA2,UCK2,MT2A,LBR,CCNA2,MCM6,SAP30,CENPF,ODC1,TACC3,MKI67,NUMA1,CDC6,DBF4,RACGAP1,DTYMK,SS18,AURKA
Apoptosis	0.0184393174788747	0.115245734242967	0.67941392655742	1.47260420386156	1245	106	h.all	Adrenocortical Carcinoma	BTG2,PPP2R5B,TIMP3,ATF3,CASP7,RHOB,ISG20,BTG3,RETSAT,CASP3,CASP4,BNIP3L,CASP9,SLC20A1,GADD45A,PAK1,TAP1,BCL10,PSEN2,CTNNB1,DNM1L,ANKH,CASP1
Protein_secretion	0.0248117480742044	0.12871534294813	-0.668107955401134	-1.5698363450486	859	82	h.all	Adrenocortical Carcinoma	GNAS,ABCA1,CTSC,OCRL,ARFGEF2,STX16,RAB5A,RAB2A,PPT1,ERGIC3,ATP7A,MON2,ARF1,TPD52
MYC_targets_v2	0.0260985656371599	0.12871534294813	0.753340772003088	1.50290036961351	1602	50	h.all	Adrenocortical Carcinoma	TMEM97,SORD,AIMP2,HSPD1,MAP3K6,UTP20,PES1,HSPE1,PPAN
