pathway	pval	padj	ES	NES	nMoreExtreme	size	geneset	type	genes
Hypoxia	1.44348052023038e-05	0.00072174026011519	0.783596034345004	1.95612318126407	0	107	h.all	Adrenocortical Carcinoma	SERPINE1,PLIN2,GALK1,UGP2,ALDOC,GLRX,BCL2,ATF3,SCARB1,GRHPR,ENO1,FOS,SLC25A1,BNIP3L,ISG20,LDHA,NDRG1,NFIL3,SLC37A4,HMOX1,MT2A,HSPA5,TPI1,TPST2,PGM1,CHST2,S100A4,MAFF,KLF6,PGK1,KDM3A,MT1E,SAP30
MTORC1_signaling	5.44484373298486e-05	0.00136121093324622	0.703638357569041	1.83824821016781	3	166	h.all	Adrenocortical Carcinoma	SQLE,ACLY,BTG2,TFRC,TMEM97,GLRX,IDH1,ENO1,SLC1A4,INSIG1,GOT1,HMBS,LDHA,NFIL3,SLC37A4,HMGCS1,DHCR7,SLC9A3R1,TRIB3,HSPA5,LDLR,SORD,TUBG1,IMMT,TPI1,ELOVL6,HSPD1,PGM1,HMGCR,PSME3,CYP51A1,SHMT2,IDI1,PGK1,GLA,PPIA,PSMC4,SCD,TUBA4A,SLC1A5,AURKA,PNP,HSPE1,GPI,MTHFD2,MAP2K3,PSAT1,ACACA,SERPINH1,ARPC5L,DHFR,PSMG1,GBE1,PSMD14,SLC2A1
TNFA_signaling_via_NFKB	0.000113618610728437	0.00189364351214062	0.715980590329421	1.80812950980053	7	119	h.all	Adrenocortical Carcinoma	SLC2A6,SERPINE1,BTG2,LITAF,IER2,IFIH1,SERPINB8,RHOB,ATF3,ZC3H12A,RELB,B4GALT5,FOS,NFIL3,BIRC2,EGR1,JUNB,LDLR,KLF10,PDLIM5,MAFF,TANK,GADD45A,KLF2,SOCS3,ICAM1,EIF1,KLF6,TAP1
Adipogenesis	0.000152070228796572	0.00190087785995714	0.69526947335347	1.79414184322875	10	146	h.all	Adrenocortical Carcinoma	PLIN2,ACLY,IDH1,MAP4K3,SCARB1,SLC5A6,SLC25A1,DHCR7,SUCLG1,RETSAT,DDT,IMMT,ELOVL6,ARL4A,MGLL,MRPL15,SAMM50,AK2,PGM1,TANK,GADD45A,PREB,UQCR11,CS,NDUFAB1,PHYH,SLC1A5,CAT,ACAA2,PTCD3,UBC,VEGFB,MTCH2,CRAT,GBE1,BCKDHA,DLAT,SDHC,SDHB,RIOK3,SLC19A1,UQCRC1
Cholesterol_homeostasis	0.000473178656488068	0.00459023680790101	0.79015108766566	1.8214859240693	29	55	h.all	Adrenocortical Carcinoma	SQLE,MVD,ACSS2,LSS,FDPS,FDFT1,ALDOC,NSDHL,FASN,MVK,TMEM97,HSD17B7,ATF3,NFIL3,HMGCS1,DHCR7,TRIB3,LDLR,SREBF2,HMGCR,CYP51A1
Fatty_acid_metabolism	0.000550828416948121	0.00459023680790101	0.702671219029345	1.74889243170515	37	104	h.all	Adrenocortical Carcinoma	NSDHL,FASN,TP53INP2,HSD17B7,IDH1,GRHPR,OSTC,PTS,LDHA,HMGCS1,SUCLG1,RETSAT,YWHAH,UGDH,ACSS1,ODC1,BLVRA,MGLL,PDHB,AUH,UBE2L6,GABARAPL1,IDI1,ACSL5
Glycolysis	0.000894010132114831	0.00638578665796308	0.677063254685904	1.71119069753931	62	120	h.all	Adrenocortical Carcinoma	GALK1,UGP2,NSDHL,PGAM1,CYB5A,GLRX,IDH1,ENO1,GNE,GOT1,ISG20,LDHA,SLC37A4,HSPA5,TPI1,CHST2,PGK1,PLOD1,PPIA,PSMC4,AURKA,SAP30,GYS1,SRD5A3,FAM162A,PFKP,PYGL,GLCE,PDK3
Oxidative_phosphorylation	0.00265745774372395	0.0166091108982747	0.603480971464809	1.5865366520525	196	177	h.all	Adrenocortical Carcinoma	ALAS1,CYB5A,IDH1,CASP7,IDH2,TIMM17A,ISCA1,LDHA,FDX1,MRPL35,SUCLG1,RETSAT,IMMT,MRPL15,NDUFS2,PDHB,UQCRH,HADHA,COX5A,CYCS,UQCRFS1,AFG3L2,HTRA2,UQCR11,MRPL34,CS,NDUFAB1,MRPS22,PHYH,TIMM8B,NDUFS4,PDHX,ACAA2,NDUFB3,COX10,GPI,MTX2,NDUFA9,SLC25A12,NDUFV1,MRPS30,NDUFA8,SLC25A4,UQCRC2,NDUFS1,BCKDHA,COX7A2L,NDUFB6,ACAT1,MRPS11,DLAT,SDHC,SDHB,OAT,UQCRC1,SLC25A11,HADHB
UV_response_up	0.00341620800910989	0.0189789333839438	0.668283032455591	1.65337815458436	233	98	h.all	Adrenocortical Carcinoma	BTG2,TFRC,ALAS1,RHOB,ATF3,FEN1,FOS,HMOX1,JUNB,CASP3,BAK1,STARD3,ICAM1,RAB27A,TAP1,CNP,POLG2,TUBA4A,PPAT,PPIF,BTG3,MMP14,POLE3,SLC25A4
Apoptosis	0.0052332557500759	0.0261662787503795	0.646653538072865	1.61268691762974	361	106	h.all	Adrenocortical Carcinoma	BTG2,PPP2R5B,TIMP3,RHOB,ATF3,CASP7,BNIP3L,ISG20,HMOX1,EMP1,RETSAT,CASP4,CASP3,CASP9,SLC20A1,GADD45A,TAP1,PSEN2,BMF,BCL10,CASP8,ANKH,ERBB2,BTG3,TIMP2,CASP1,SMAD7
Xenobiotic_metabolism	0.00885111114362208	0.0402323233801004	0.642311876938668	1.5869567044513	604	97	h.all	Adrenocortical Carcinoma	SERPINE1,NPC1,ALAS1,CYB5A,TMEM97,IDH1,IL1R1,PTS,PGD,HMOX1,SMOX,MT2A,RETSAT,SERTAD1,DDT,ACP1,UGDH,SLC35D1,LPIN2,ASL,PDLIM5,SHMT2,CNDP2,GABARAPL1,UPP1,PMM1,SLC35B1,SLC1A5,CAT,AP4B1
G2M_checkpoint	0.0124115482592697	0.0492422654237304	0.60217507025917	1.52597801714651	876	123	h.all	Adrenocortical Carcinoma	SQLE,KPNA2,UCK2,MT2A,MCM6,LBR,ODC1,CENPF,DTYMK,RACGAP1,TACC3,CCNA2,CDC6,MKI67,RAD23B,PTTG1,DBF4,SS18,KPNB1,AURKA,SAP30
Interferon_gamma_response	0.0147726796271191	0.0492422654237304	0.586221483462071	1.50030511695352	1056	135	h.all	Adrenocortical Carcinoma	ST3GAL5,OAS3,IFI44,STAT1,IFIH1,CASP7,IFIT3,ISOC1,VAMP8,ISG20,MX1,MT2A,CASP4,CASP3,ARL4A,TRIM25,SOCS3,ICAM1,PNPT1,UBE2L6,UPP1,DHX58,TAP1,IL4R,PNP,EIF2AK2,CASP8,NMI,STAT2,MTHFD2,PSMB9,TRIM21,DDX60,PFKP,CASP1,IFNAR2,IRF2,PSMA2,CMPK2,C1R,DDX58,SPPL2A,STAT3,SERPING1,PSMB2
E2F_targets	0.0139626734903902	0.0492422654237304	0.583319026575442	1.49861322404917	1003	140	h.all	Adrenocortical Carcinoma	TFRC,KPNA2,CHEK2,DUT,MCM6,LBR,TK1,TUBG1,UBE2T,TIMELESS,PHF5A,RACGAP1,TACC3,AK2,CIT,MKI67,SPAG5,SHMT1,PAICS,PTTG1,CDCA8,DONSON,POLD2,ZW10,AURKA,PPM1D,RAN,RANBP1,MTHFD2,RPA3,MSH2,EIF2S1,DNMT1,POLE4,CKS1B,RPA2,PCNA,ATAD2,EED,XRCC6
Inflammatory_response	0.0141652005233004	0.0492422654237304	0.651635503456588	1.57205423600803	941	79	h.all	Adrenocortical Carcinoma	SERPINE1,BTG2,SLC31A1,IL1R1,LDLR,CHST2,ICAM1,KLF6,IL4R,EIF2AK2,NMI,MMP14,SGMS2
Coagulation	0.0171147221217222	0.0534835066303818	0.688222548768958	1.59043189701549	1087	56	h.all	Adrenocortical Carcinoma	SERPINE1,TIMP3,DUSP14,MST1,CASP9,ADAM9,MAFF,RABIF,BMP1,FBN1,THBS1,MMP14
Peroxisome	0.021875239188672	0.0643389387902118	0.653762007054478	1.54934863666052	1428	68	h.all	Adrenocortical Carcinoma	FDPS,IDH1,IDH2,ISOC1,ABCD3,RETSAT,YWHAH,ITGB1BP1,IDI1,ACSL5,CAT,DHRS3,VPS4B,BCL10,MSH2,CRAT,SLC25A4
Interferon_alpha_response	0.0303518994659891	0.0798734196473398	0.631857689384388	1.50750901989081	1994	72	h.all	Adrenocortical Carcinoma	OAS1,IFI44,IFIH1,IFIT3,ISG20,MX1,TRIM25,PNPT1,UBE2L6,DHX58,TAP1,CNP,IL4R,EIF2AK2,CASP8,NMI,STAT2,PSMB9,TRIM21,DDX60,PARP9,CASP1,IRF2
Complement	0.0288599660470988	0.0798734196473398	0.592613852943305	1.47376886368613	1988	103	h.all	Adrenocortical Carcinoma	SERPINE1,LIPA,CASP7,FDX1,HSPA5,CASP4,CASP3,CASP9,ADAM9,MAFF,RABIF
Estrogen_response_late	0.0499562567653732	0.112355249189845	0.585194961122804	1.42995506275711	3368	88	h.all	Adrenocortical Carcinoma	FDFT1,BCL2,SCARB1,IDH2,IMPA2,ST14,SLC1A4,FOS,ISG20,DHCR7,SLC9A3R1,SORD,UGDH,RAPGEFL1,MDK,CDC6,SNX10,LLGL2,GLA
Apical_junction	0.0512139325511032	0.112355249189845	0.5794266526986	1.42244113344385	3469	92	h.all	Adrenocortical Carcinoma	MVD,INSIG1,ARPC2,CERCAM,YWHAH,TUBG1,ADAM9,MDK,LIMA1,ICAM1,ITGB4,BMP1,MPZL1,FBN1,CRAT,MAP4K2,MAPK11,ICAM2
MYC_targets_v1	0.0486080245666492	0.112355249189845	0.514846796914534	1.35506196569998	3608	179	h.all	Adrenocortical Carcinoma	KPNA2,TYMS,DUT,LDHA,PSMD1,AIMP2,MCM6,CCT2,ACP1,PPM1G,SNRPA1,ODC1,PSMD3,CCNA2,HSPD1,NCBP1,PRPS2,COX5A,RAD23B,YWHAQ,CCT7,SSB,PGK1,CAD,NDUFAB1,POLD2,PPIA,PSMC4,C1QBP,KPNB1,HSPE1,RAN,RANBP1,SNRPG,EIF2S1,TXNL4A,POLE3,PSMD14,PSMA2,PCNA,CCT4,PSMA1,RFC4,ILF2,XRCC6,PHB,PSMB2,EIF4A1,PSMA4,VBP1,SET,MCM4,VDAC3,ABCE1,MCM7,NOLC1,PTGES3
P53_pathway	0.0516834146273288	0.112355249189845	0.538794022771213	1.37892494927631	3697	135	h.all	Adrenocortical Carcinoma	BTG2,ATF3,IRAK1,ST14,FOS,VAMP8,AK1,NDRG1,HEXIM1,HMOX1,RETSAT,TRIB3,DGKA,SLC35D1,BAK1,S100A4,GADD45A,AEN,RHBDF2,UPP1,TAP1,PMM1,ITGB4,SLC3A2,PPM1D,PLK2,FAM162A,NINJ1,CASP1,PLK3,PCNA,TRAF4,EPHX1,DDB2,DCXR,DDIT4
Androgen_response	0.0597376543209877	0.124453446502058	0.610541611623926	1.43539186171938	3870	64	h.all	Adrenocortical Carcinoma	DBI,INSIG1,NDRG1,HMGCS1,SORD,HMGCR,PDLIM5,UAP1,MYL12A,IDI1,SCD,APPBP2,ANKH,SEC24D,ZMIZ1,ELL2,RAB4A,SRP19,STK39,XRCC6
IL2_STAT5_signaling	0.0827694591173004	0.165538918234601	0.543705302029148	1.34907833258446	5687	101	h.all	Adrenocortical Carcinoma	PLIN2,BCL2,UCK2,RHOB,NDRG1,NFIL3,EMP1,ITGAE,CASP3,LRIG1,ODC1,ARL4A,CDC6,MAFF,GABARAPL1,KLF6,SLC1A5,DHRS3,IL4R,PNP,DENND5A
TGF_beta_signaling	0.0957996663286336	0.170702606101396	0.633022445646463	1.40068470889983	5856	40	h.all	Adrenocortical Carcinoma	SERPINE1,TGFBR1,LTBP2,JUNB,SLC20A1,KLF10
Estrogen_response_early	0.0910308686499934	0.170702606101396	0.546034861995691	1.34227957663951	6183	93	h.all	Adrenocortical Carcinoma	FDFT1,SEC14L2,FASN,BCL2,SCARB1,SLC1A4,FOS,DHCR7,SLC9A3R1,LRIG1,RAPGEFL1,KLF10,UNC119,KDM4B,RHOBTB3,GLA,DHRS3,CHPT1,ENDOD1,PPIF
Protein_secretion	0.0990075115388096	0.170702606101396	-0.480100267823767	-1.31639111232895	3281	82	h.all	Adrenocortical Carcinoma	GNAS,OCRL,ABCA1,CTSC,STX16,M6PR,ARFGEF2,ARF1,ATP7A,ERGIC3,DNM1L,SNAP23,RAB5A,RAB2A,PPT1,TMED10,MON2
Bile_acid_metabolism	0.0954152359150452	0.170702606101396	0.603987246574206	1.38174093247325	6001	52	h.all	Adrenocortical Carcinoma	NPC1,IDH1,IDH2,ISOC1,PXMP2,ABCD3,RETSAT,IDI1,ACSL5,PHYH,CAT
Mitotic_spindle	0.129768796519363	0.216281327532271	-0.415841026406075	-1.22075122187732	3608	144	h.all	Adrenocortical Carcinoma	MID1IP1,FGD6,EPB41,ARHGEF3,PCM1,OPHN1,NUMA1,ABR,NCK2,SMC4,UXT,TLK1,TUBGCP6,KIF5B,BCR,YWHAE,ARHGAP5,ITSN1,HDAC6,VCL,HOOK3,APC
Heme_metabolism	0.14196091729897	0.228969221449952	0.49247441824545	1.24933386952959	10046	124	h.all	Adrenocortical Carcinoma	BTG2,TFRC,PPP2R5B,HMBS,BNIP3L,ISCA1,RANBP10,SMOX,BLVRA,LPIN2,HTATIP2,HTRA2,KAT2B,PRDX2,CAT,MINPP1,ENDOD1,TNS1,MAP2K3,GYPC,YPEL5,SLC2A1,ELL2,TMEM9B,BACH1
IL6_JAK_STAT3_signaling	0.162909785454366	0.254546539772447	0.591059842872913	1.29866477302062	9893	38	h.all	Adrenocortical Carcinoma	STAT1,IL1R1,HMOX1,BAK1,SOCS3,IL4R,STAT2,TYK2,STAT3,GRB2,IRF9,TNFRSF1B
MYC_targets_v2	0.178147154627323	0.264997903068494	0.555679697829027	1.26467456501942	11156	50	h.all	Adrenocortical Carcinoma	TMEM97,AIMP2,SORD,MAP3K6,PES1,HSPD1,HSPE1,PPAN,WDR43,SLC19A1,PHB,MCM4,NOLC1,CBX3,FARSA,TBRG4,RABEPK
ROS_pathway	0.180198574086576	0.264997903068494	0.580660291451003	1.2758150882557	10943	38	h.all	Adrenocortical Carcinoma	MBP,GLRX,JUNB,NDUFS2,PDLIM1,PRDX2,CAT,CDKN2D,PRNP,PFKP,PRDX6,SBNO2,GSR,NDUFA6,SRXN1
Unfolded_protein_response	0.204611247446768	0.292301782066811	0.486777335205061	1.19822561491009	13923	94	h.all	Adrenocortical Carcinoma	PDIA6,ATF3,YIF1A,SLC1A4,HSPA5,EIF4A3,PREB,GEMIN4,NOP14,TUBB2A,IMP3,EIF2AK3,SRPRB,MTHFD2,EIF2S1,PSAT1,CKS1B,ZBTB17
Pancreas_beta_cells	0.260835347686773	0.362271316231629	0.669271684232878	1.2228898569781	13919	10	h.all	Adrenocortical Carcinoma	STXBP1,SRPRB,SRP9,SEC11A,MAFB
EMT	0.281285878300804	0.380116051757843	0.481094212395902	1.14014374349953	18374	68	h.all	Adrenocortical Carcinoma	SERPINE1,FSTL3,TIMP3,RHOB,IL32,GADD45A,NID2,PLOD1,BMP1,FBN1,TPM4,ECM1,THBS1,MMP14,SERPINH1
UV_response_dn	0.294722120880457	0.387792264316391	0.471388562767764	1.12600357016665	19387	73	h.all	Adrenocortical Carcinoma	SERPINE1,INSIG1,LDLR,MGLL,PDLIM5,LTBP1,MT1E,ERBB2,ZMIZ1,SMAD7,MAP2K5,ANXA2
Myogenesis	0.378500519711372	0.485257076553041	0.438550322136727	1.05659880149145	25125	78	h.all	Adrenocortical Carcinoma	FDPS,LPIN1,MYH11,PDE4DIP,AK1,SMTN,PSEN2,ITGB4,SCD
WNT_beta_catenin_signaling	0.410603864734299	0.500736420407682	-0.441615120950501	-1.02494110193484	16998	27	h.all	Adrenocortical Carcinoma	PPARD,NCOR2,HDAC5,DVL2,MAML1,CTNNB1,NCSTN
KRAS_signaling_dn	0.401404590613224	0.500736420407682	0.501932554331299	1.04992716393912	23433	26	h.all	Adrenocortical Carcinoma	BTG2,MX1,SPHK2,CHST2,CCDC106,PTPRJ,DTNB,CELSR2,MAST3
Spermatogenesis	0.428916666666667	0.510615079365079	0.471935602788592	1.02242627127666	25734	34	h.all	Adrenocortical Carcinoma	LPIN1,ARL4A,DBF4,AURKA,COIL,PSMG1,RFC4,AGFG1,MAST2,VDAC3
PI3K_AKT_MTOR_signaling	0.560509939891289	0.651755744059639	0.387542106007885	0.92906955207862	37019	75	h.all	Adrenocortical Carcinoma	RPTOR,TRIB3,PPP2R1B,ECSIT,DUSP3,RALB,PPP1CA,PIN1,STAT2,MAP2K3,ACACA,SLC2A1,MAPKAP1,RPS6KA1
Allograft_rejection	0.626391437308868	0.711808451487351	-0.324250144351265	-0.895843434606334	20482	87	h.all	Adrenocortical Carcinoma	PTPN6,ELF4,IKBKB,RPL39,CSF1,F2R,NPM1,RPL9,AKT1
