pathway	pval	padj	ES	NES	nMoreExtreme	size	geneset	type	genes
MTORC1_signaling	1.60665799071352e-05	0.000271793784619733	0.595075053791098	2.25055350833894	0	166	h.all	Breast Cancer	SRD5A1,FADS2,ENO1,NAMPT,G6PD,TPI1,GBE1,TRIB3,RDH11,TCEA1,P4HA1,M6PR,UCHL5,CCNF,STIP1,PGK1,MTHFD2,PIK3R3,CCT6A,EIF2S2,PNO1,CTSC,DDIT3,IFRD1,ACTR2,TBK1,COPS5,DHCR7,MCM4,PSMD13,GSK3B,PSMD14,PSMA3,CDC25A,YKT6,TOMM40,PSMD12,ATP6V1D,SHMT2,HMGCS1,CACYBP,PHGDH,PSMC2,LDHA,ACTR3,PSAT1,GAPDH,PGM1,NUP205,CD9,AURKA,EDEM1,HMGCR,RIT1,GTF2H1,IDH1,TFRC,HSPD1,TXNRD1,ATP2A2,EBP,HMBS,ETF1,CYP51A1,GSR,MCM2
E2F_targets	1.6307627077184e-05	0.000271793784619733	0.563374950131686	2.08706916045283	0	140	h.all	Breast Cancer	PRPS1,NOP56,PRKDC,CDK4,NCAPD2,POLD3,SMC6,MTHFD2,LYAR,ZW10,MSH2,RFC1,TRIP13,RFC3,MCM4,CHEK1,CDC25A,DEK,MAD2L1,MCM6,CKS1B,SMC1A,EIF2S1,NBN,CBX5,NUP205,POLE,AURKA,POLA2,XPO1,HUS1,GINS4,SLBP,PAICS,USP1,LMNB1,TFRC,HMGB3,RPA3,TRA2B,GINS1,GINS3,TK1,CTCF,SNRPB,PPP1R8,MCM2,PMS2,PCNA,PRDX4,TMPO,CDCA8,ATAD2,NOLC1,ANP32E,POLE4,MKI67,BRMS1L,PDS5B,RACGAP1,EXOSC8,DONSON,UNG,UBR7,AK2,RFC2,SMC4,IPO7
MYC_targets_v1	1.59091270661979e-05	0.000271793784619733	0.547623830464955	2.09023938107707	0	179	h.all	Breast Cancer	ODC1,CSTF2,XPOT,NOP56,ABCE1,PSMD7,CDK4,AIMP2,YWHAQ,PGK1,RAD23B,PSMA2,EIF2S2,SF3B3,IFRD1,CCT5,SERBP1,CCT4,EIF3B,COPS5,PSMA7,MCM4,CAD,PSMD14,TARDBP,AP3S1,DDX18,HNRNPR,DEK,VDAC3,MRPL9,EIF4G2,MAD2L1,CBX3,MCM6,PSMA1,EIF2S1,LDHA,VDAC1,EIF4H,POLE3,XPO1,EIF1AX,USP1,PHB2,HSPD1,TRA2B,RPS10,ETF1,DDX21,MCM2,PCNA,PPM1G,SET,PRDX4,CCT7,NOP16,EXOSC7,NCBP1,CANX,RRM1,NOLC1,VBP1,KPNB1,SMARCC1,SSB,HSPE1,RPL22,PPIA,ACP1,CCNA2,CDK2,PSMC4,UBA2,HDGF,DHX15,PSMB2,TFDP1,CCT3,SNRPG,CYC1,GNL3,BUB3,PTGES3,STARD7,ILF2,FBL
Interferon_alpha_response	2.38322211630124e-05	0.000297902764537655	-0.627817402194644	-2.23315014512815	0	72	h.all	Breast Cancer	MX1,DHX58,CSF1,SP110,HLA-C,IFI35,IRF9,IFITM1,BST2,UBA7,IFI44,OAS1,IRF7,ISG20,RNF31,IFIT3,MOV10,DDX60,PROCR,STAT2,UBE2L6,SLC25A28,CMPK2,TDRD7,IFITM2,LY6E,PSMB9,PSMB8,PSME1,IFITM3,IFIH1,PARP9,TAP1,GBP2,SAMD9,LGALS3BP,OGFR,TRIM26,B2M,TXNIP
Myogenesis	7.22178089116776e-05	0.000722178089116776	-0.536209529103235	-1.93336374375024	2	78	h.all	Breast Cancer	HDAC5,MYH11,MEF2A,MAPRE3,TGFB1,PSEN2,MYLK,AGL,AK1,TAGLN,OCEL1,SMTN,DAPK2,FOXO4,CHRNB1,HBEGF,GAA,AKT2,MEF2D,LSP1,IGFBP7,PTP4A3,PICK1,TPM2,ATP6AP1,SH2B1,COL6A2,MEF2C,MYO1C,PDLIM7,PFKM,FLII,MYL6B,MYH9,AGRN
G2M_checkpoint	9.89429593839152e-05	0.000824524661532627	0.517382518721245	1.88380228594313	5	123	h.all	Breast Cancer	ODC1,HIF1A,SS18,CDK4,DBF4,CCNF,DKC1,CUL5,RAD23B,SLC38A1,CHEK1,CDC25A,SAP30,KIF20B,MAD2L1,TOP1,SMC2,MCM6,CKS1B,SMC1A,NUP98,POLE,AURKA,POLA2,XPO1,KIF11,LIG3,NUP50,HUS1,LMNB1,HMGB3,TRA2B,CTCF,CDC6,ATRX,MCM2,E2F3,DR1,SLC12A2,UCK2,TMPO,NOLC1,MKI67,KPNB1,PDS5B,RACGAP1,SLC7A5,SMARCC1,YTHDC1,SLC7A1,E2F1,CCNA2,FOXN3,MTF2,SMC4,HSPA8,ATF5,TFDP1,TPX2
KRAS_signaling_dn	0.000309030307043684	0.00220735933602631	-0.682455666777874	-1.97755871131639	13	26	h.all	Breast Cancer	MX1,SPHK2,CCDC106,BTG2,PDK2,MAST3,SLC29A3,IDUA,GTF3C5,IGFBP2,SKIL,CELSR2
TNFA_signaling_via_NFKB	0.0014194823958835	0.00887176497427188	-0.415447307819778	-1.59935422351584	55	119	h.all	Breast Cancer	NR4A1,MAFF,FOSB,CSF1,ATF3,DDX58,BTG2,JUNB,EGR1,TRIB1,HBEGF,DUSP1,ZC3H12A,JUN,KLF2,PTPRE,TNIP1,ZFP36,GADD45A,IRS2,STAT5A,EIF1,CCL5,TANK,PER1,FOS,RHOB,ETS2,TIPARP,NINJ1,SOCS3,IER2
Estrogen_response_early	0.00314041070683775	0.0157020535341888	-0.425986250719745	-1.57978450265783	127	93	h.all	Breast Cancer	UNC119,RAPGEFL1,IGF1R,RARA,MED24,SLC26A2,KDM4B,ARL3,MAST4,DLC1,SCARB1,MICB,RBBP8,SIAH2,NBL1,SLC1A4,SLC37A1,CELSR2,FOS,GLA,PRSS23,AMFR,TIPARP,SEC14L2,PODXL,SYNGR1,LRIG1,DYNLT3,FASN,RHOBTB3,ABHD2,ADCY9,NCOR2,ABCA3,FHL2,ABAT
Androgen_response	0.00305868858726821	0.0157020535341888	0.529903884087477	1.74903220184054	175	64	h.all	Breast Cancer	FKBP5,ABCC4,GNAI3,DBI,LMAN1,SLC38A2,TNFAIP8,HERC3,SPCS3,CDK6,B4GALT1,UAP1,CENPN,ITGAV,HMGCS1,HMGCR,STK39,ELK4,GSR,UBE2I,ADRM1,MAF,RAB4A,TPD52,SCD,PIAS1,RRP12,ZMIZ1,SEC24D,AKT1,VAPA,APPBP2,IDI1,NGLY1,NDRG1,IQGAP2,XRCC6
Protein_secretion	0.00509578021678369	0.0231626373490168	0.481860042735736	1.65585944834438	298	82	h.all	Breast Cancer	M6PR,ARFGAP3,SGMS1,RAB2A,LAMP2,ZW10,LMAN1,ARFGEF1,CTSC,RAB22A,CLCN3,ARCN1,VAMP7,AP3S1,KIF1B,YKT6,DNM1L,GOLGA4,AP1G1,MON2,SCRN1,YIPF6,ARFIP1,ATP6V1H,VPS4B,SNX2,ANP32E,COPB1,ABCA1,ADAM10,TPD52,AP3B1,GALC,TMED10,STAM,SEC24D,MAPK1
NOTCH_signaling	0.00810855535330134	0.0337856473054223	0.663623539995333	1.77839021413135	440	22	h.all	Breast Cancer	PRKCA,DTX4,SAP30,ARRB1,APH1A,FZD5
MYC_targets_v2	0.0101556014765361	0.0390600056789852	0.524005005026362	1.65732312590016	574	50	h.all	Breast Cancer	WDR43,NOP56,CDK4,AIMP2,NOP2,MCM4,DDX18,MPHOSPH10,CBX3,RCL1,SUPV3L1,HSPD1,NOP16,MRTO4,NOLC1,UTP20,HSPE1,UNG
Hypoxia	0.0263223698468001	0.0939088037357506	0.399496242061881	1.42728678358067	1578	107	h.all	Breast Cancer	PRKCA,ENO1,TPI1,GBE1,P4HA1,PLIN2,PGK1,UGP2,DDIT3,EFNA3,SAP30,PFKP,MXI1,LDHA,GAPDH,PGM1,LOX,EFNA1,RBPJ,XPNPEP1
Interferon_gamma_response	0.0281726411207252	0.0939088037357506	-0.339673756810364	-1.33107858034287	1093	135	h.all	Breast Cancer	MX1,DHX58,SP110,IFI35,DDX58,IRF9,BST2,XAF1,OAS2,IFI44,IRF7,ISG20,RNF31,IFIT3,PTPN6,HLA-A,HLA-B,MX2,OAS3,DDX60,PML,CCL5,VAMP5,STAT2,UBE2L6,SLC25A28,CMPK2,TDRD7,SOCS3,IFITM2,LY6E,MVP,PSMB9,PSMB8,PSME1,IFITM3
EMT	0.0333206849120144	0.0988377573839191	-0.397718507239389	-1.4009925409149	1404	68	h.all	Breast Cancer	THBS1,TGFB1,ACTA2,MYLK,TAGLN,JUN,TGFBR3,GADD45A,IGFBP2,RHOB,TPM2,COL6A2,ECM1,FUCA1,SGCB,TIMP1,PDGFRB,CAPG,EFEMP2,FSTL3
Glycolysis	0.0336048375105325	0.0988377573839191	0.38172232836872	1.38500839759517	2033	120	h.all	Breast Cancer	ENO1,G6PD,TPI1,PRPS1,P4HA1,HS2ST1,PGK1,SLC25A13,PYGL,UGP2,ALDH7A1,EFNA3,B4GALT1,ALDH9A1,SAP30,AK3,SRD5A3,NANP,RPE,PFKP,MXI1,LDHA,IL13RA1,GALE,AURKA,IDH1,PGM2,KIF2A,B4GALT4
UV_response_dn	0.0425367096452118	0.118157526792255	0.419381610599344	1.4153598922924	2470	73	h.all	Breast Cancer	PRKCA,ATP2C1,PIK3R3,ATP2B1,MIOS,ANXA4,ATXN1,CDK13
Unfolded_protein_response	0.0452362091921865	0.119042655768912	0.392772116815722	1.37856257083672	2683	94	h.all	Breast Cancer	XPOT,NOP56,POP4,PDIA6,DKC1,MTHFD2,SPCS3,KHSRP,HYOU1,CKS1B,EIF2S1,DCP2,DDX10,PSAT1,EIF4EBP1,ALDH18A1,YWHAZ,EDEM1,PDIA5,NOP14,NFYB,TSPYL2,PAIP1,DNAJC3,SSR1,NOLC1,SLC7A5,CEBPG,BANF1,TUBB2A,DCP1A
PI3K_AKT_MTOR_signaling	0.0513869315642938	0.123748925533281	0.4085403972186	1.38491325222107	2989	75	h.all	Breast Cancer	TRIB3,CDK4,RALB,PIK3R3,DDIT3,PPP2R1B,ACTR2,TBK1,GSK3B,PTPN11,RAC1,ACTR3,CAB39,RIT1,CFL1,MYD88,HRAS,E2F1,CDK2,SMAD2,SQSTM1,MKNK1,NCK1
Peroxisome	0.0519745487239781	0.123748925533281	0.417440636154537	1.39254267653176	3005	68	h.all	Breast Cancer	ACSL1,CAT,RDH11,ACOX1,MSH2,PEX2,ALDH9A1,ITGB1BP1,ATXN1,PEX5,PEX13,BCL10,EHHADH,ACSL5,IDH1,SIAH1,ISOC1,VPS4B,PRDX1,HRAS,SMARCC1,FDPS,IDE,SCP2,RETSAT,ABCC5,ACSL4
Bile_acid_metabolism	0.0680592279217345	0.154680063458488	0.431877738085301	1.37554393521939	3860	52	h.all	Breast Cancer	ACSL1,FADS2,CAT,PHYH,ALDH9A1,CROT,ATXN1,PEX13,ACSL5,IDH1,NPC1,PEX26
Cholesterol_homeostasis	0.0735488184681435	0.159888735800312	0.422136404040255	1.35746402023342	4179	55	h.all	Breast Cancer	FADS2,TRIB3,CHKA,GSTM2,DHCR7,CLU,HMGCS1,ALCAM,CD9,HMGCR,EBP,CYP51A1,CXCL16,GNAI1,NSDHL,FDPS,S100A11,SCD,ATF5,MVK,PLAUR
Fatty_acid_metabolism	0.0787360744036667	0.164033488340972	0.36319683593136	1.29255596919865	4706	104	h.all	Breast Cancer	ACSL1,ODC1,RDH11,ACOX1,S100A10,PRDX6,SDHD,ALDH9A1,GABARAPL1,ACADM,HMGCS1,ADSL,TP53INP2,LDHA,NBN,HCCS,PPARA,EHHADH,SUCLG2,ACSL5,CCDC58,IDH1,UGDH,SUCLA2,MDH1,ALDOA,SDHC,NSDHL,HSD17B10,PDHA1,HSP90AA1
Pancreas_beta_cells	0.083269361992494	0.166538723984988	-0.631144231856456	-1.43088252373382	3904	10	h.all	Breast Cancer	SRP14,LMO2,SEC11A
Adipogenesis	0.0885444590664652	0.170277805897048	0.335134600124264	1.24809300133353	5449	146	h.all	Breast Cancer	CAT,GBE1,RIOK3,MCCC1,ACOX1,MTCH2,PHYH,PLIN2,CMPK1,SLC5A6,ATL2,DHCR7,RNF11,POR,GRPEL1,DLAT,MAP4K3,ACADM,GHITM,MRPL15,GPAM
TGF_beta_signaling	0.112071696917576	0.199311268346049	-0.404518825685382	-1.28820579300995	4951	40	h.all	Breast Cancer	THBS1,TGFB1,JUNB,ENG,CDK9,LTBP2,SKIL,FURIN
P53_pathway	0.115600535640709	0.199311268346049	-0.302763492119043	-1.186438431552	4488	135	h.all	Breast Cancer	CTSF,TGFB1,ATF3,BTG2,AK1,DEF6,HEXIM1,SERTAD3,HBEGF,AEN,RALGDS,JUN,RPS27L,DGKA,ISCU,PTPRE,GADD45A,RRP8,PLK3,FDXR,PMM1,PROCR,FOS,RPL18,DDB2,NINJ1,BAX,FUCA1
Spermatogenesis	0.111741227040402	0.199311268346049	0.446811997921415	1.31369373021397	6186	34	h.all	Breast Cancer	DBF4,VDAC3,ZC3H14,LPIN1,CLPB,AGFG1,AURKA,MTOR,TSN,SLC12A2,TALDO1
WNT_beta_catenin_signaling	0.131678670360111	0.219464450600185	-0.440085054154556	-1.28632910014705	5941	27	h.all	Breast Cancer	HDAC5,HDAC11,PSEN2,NOTCH4,KAT2A,FRAT1,TCF7,CSNK1E
Estrogen_response_late	0.165043355760122	0.266198960903423	-0.31727525866899	-1.16702382483767	6794	88	h.all	Breast Cancer	RAPGEFL1,SLC26A2,ARL3,SCARB1,MICB,ISG20,COX6C,PTPN6,RBBP8,SIAH2,ZFP36,NBL1,NAB2,SLC1A4,CELSR2,FOS,GLA,PRSS23,RABEP1,AMFR
ROS_pathway	0.182546941410663	0.285229595954161	0.403358567451002	1.21249711641192	10178	38	h.all	Breast Cancer	CAT,G6PD,SRXN1,PRDX6,OXSR1,PFKP,TXNRD1,ABCC1,GSR,PRDX4,PRDX1,PRNP,NQO1
Apical_junction	0.298945101206648	0.439625148833305	-0.289633689537246	-1.0724457432814	12213	92	h.all	Breast Cancer	CLDN15,RAC2,PBX2,JUP,AKT2,EVL,INPPL1,CD34,JAM3,TUBG1,CERCAM,PKD1,SYMPK,GTF2F1,ACTG1,RRAS,MYH9,TMEM8B,PECAM1,TAOK2,PARD6G,SHC1,NF2
Oxidative_phosphorylation	0.291523098519653	0.439625148833305	0.28127428516184	1.07189126444055	18274	177	h.all	Breast Cancer	NDUFA9,PDP1,LRPPRC,NDUFC2,PDHX,PHYH,LDHB,COX11,TIMM17A,COX15,FDX1,SDHD,POR,TIMM50,GRPEL1,DLAT,ACADM,MRPL15,VDAC3,ATP6V1D,MTRR,SUPV3L1,ATP6V1C1,LDHA,CYCS,VDAC1,HCCS,IDH1,PHB2,TIMM8B,OPA1,VDAC2,ATP6V1H
Xenobiotic_metabolism	0.322995550331626	0.461422214759466	0.301673185968306	1.06392987655018	19235	97	h.all	Breast Cancer	CAT,ABHD6,ACOX1,AHCY,PGD,UPP1,PGRMC1,SMOX,IL1R1,POR,ALDH9A1,GABARAPL1,CROT,SHMT2,ID2,GCH1,IDH1,UGDH,NPC1,ATP2A2,GSR,SLC35D1
Heme_metabolism	0.346611118429719	0.481404331152388	0.287319614763228	1.04755134327695	21048	124	h.all	Breast Cancer	CAT,SDCBP,GDE1,RIOK3,TCEA1,LAMP2,SMOX,DCUN1D1,CLCN3,USP15,RBM38,TOP1,RCL1,MXI1,BACH1,FOXJ2,SEC14L1,TFRC,EIF2AK1,RNF19A,HMBS,OSBP2,NARF,MGST3,GMPS
IL6_JAK_STAT3_signaling	0.361045184331276	0.487898897744968	-0.334606481493641	-1.05391769152743	15972	38	h.all	Breast Cancer	CSF1,TGFB1,IRF9,JUN,TYK2,STAT2,CD14,SOCS3
IL2_STAT5_signaling	0.382488942501005	0.503274924343428	0.290376241703758	1.02954286607313	22829	101	h.all	Breast Cancer	CASP3,ODC1,P4HA1,PLIN2,AHCY,LCLAT1,NOP2,HUWE1,GABARAPL1,ANXA4,ITGAV,NCOA3,ALCAM,UMPS,CDC42SE2,ST3GAL4,TWSG1,CDC6,CKAP4,PRKCH,UCK2,CDKN1C,GALM,PRNP
Mitotic_spindle	0.411967199805147	0.528163076673266	0.272410203612953	1.01309632541264	25370	144	h.all	Breast Cancer	ARHGAP10,LRPPRC,VCL,RFC1,ARFGEF1,SOS1,CCDC88A,KIF1B,HOOK3,KIF20B,CKAP5,MARK4,TLK1,ARHGAP5,PCM1,STK38L,SMC1A,RAB3GAP1,ECT2,NIN,AURKA,SPTBN1,KIF11,LMNB1,SASS6,CEP192,ALS2,ITSN1,CDK5RAP2,CEP57,DYNC1H1,TRIO,RACGAP1,DOCK4,BCL2L11,KIF3C,TBCD,TSC1,SMC4,CTTN,TPX2,DLG1,NCK1,ROCK1
Hedgehog_signaling	0.480595359945411	0.574275002254954	-0.434439287304932	-0.984927933191323	22537	10	h.all	Breast Cancer	LDB1,PML,DPYSL2,ETS2,TLE3,MYH9
Complement	0.482391001894162	0.574275002254954	0.275688068756569	0.979700839371829	28777	103	h.all	Breast Cancer	CASP3,PDP1,GNAI3,LAMP2,VCPIP1,CTSC,DYRK2,FDX1,CLU,USP15,CALM1,CASP10,RABIF,XPNPEP1,RNF4,APOC1,CD59,KIF2A,PSEN1
Inflammatory_response	0.462429127672655	0.574275002254954	0.289292360253681	0.988970257940457	27077	79	h.all	Breast Cancer	NAMPT,HIF1A,ATP2C1,SGMS2,GNAI3,PDE4B,ATP2B1,SLC31A1,IL1R1,CYBB,KIF1B,TLR2,GCH1,PVR,FZD5,ATP2A2,PSEN1,NMI
Coagulation	0.512276060521675	0.595669837815901	-0.284515962305793	-0.966809933698485	22074	56	h.all	Breast Cancer	MAFF,THBS1,ISCU,RAPGEF3,S100A13,USP11,PRSS23,FURIN,CSRP1,TIMP1,PECAM1,GNB2,SERPING1,SERPINE1,F8,CRIP2,MMP14,CFB,GSN,CTSO,C2
Apical_surface	0.570302035172622	0.648070494514344	-0.362855796603547	-0.917665703026664	26396	15	h.all	Breast Cancer	CROCC,FLOT2,SULF2,TMEM8B
UV_response_up	0.58798070978113	0.653311899756811	-0.251934284391433	-0.942167905503585	23774	98	h.all	Breast Cancer	NR4A1,FOSB,ATF3,BTG2,JUNB,DLG4,NXF1,HLA-F,SULT1A1
