pos	callable_tn	callable_t
577	6127	7459
578	6119	7457
579	6104	7447
580	6085	7437
581	6088	7444
582	6075	7432
583	6049	7412
584	6044	7407
585	6031	7393
586	6028	7380
587	6025	7371
588	6014	7363
589	6011	7352
590	6011	7341
591	6005	7338
592	5998	7335
593	5985	7317
594	5984	7319
595	5980	7316
596	5968	7284
597	5945	7272
598	5934	7254
599	5914	7247
600	5895	7218
601	5874	7200
602	5865	7181
603	5845	7164
604	5844	7158
605	5844	7158
606	5834	7150
607	5819	7137
608	5806	7127
609	5808	7129
610	5795	7109
611	5779	7096
612	5773	7095
613	5763	7083
614	5752	7066
615	5745	7053
616	5734	7036
617	5716	7016
618	5700	6993
619	5685	6970
620	5676	6958
621	5654	6937
622	5639	6910
623	5635	6898
624	5619	6885
625	5598	6856
626	5587	6830
627	5575	6812
628	5569	6798
629	5556	6779
630	5542	6761
631	5531	6745
632	5531	6733
633	5521	6714
634	5509	6698
635	5505	6681
636	5493	6662
637	5478	6650
638	5474	6651
639	5464	6634
640	5465	6623
641	5462	6614
642	5445	6598
643	5442	6589
644	5433	6571
645	5427	6558
646	5424	6543
647	5415	6534
648	5416	6527
649	5412	6524
650	5401	6508
651	5389	6485
652	5382	6477
653	5381	6469
654	5370	6457
655	5358	6454
656	5354	6446
657	5345	6430
658	5343	6434
659	5347	6435
660	5341	6438
661	5344	6451
662	5339	6437
663	5336	6424
664	5332	6423
665	5331	6414
666	5323	6406
667	5319	6392
668	5306	6388
669	5304	6383
670	5299	6377
671	5305	6369
672	5300	6361
673	5298	6355
674	5291	6359
675	5298	6350
676	5304	6347
677	5306	6351
678	5310	6348
679	5313	6350
680	5312	6344
681	5308	6340
682	5309	6332
683	5308	6333
684	5304	6345
685	5309	6352
686	5316	6354
687	5316	6360
688	5320	6370
689	5333	6389
690	5344	6404
691	5351	6410
692	5359	6435
693	5364	6451
694	5368	6461
695	5375	6482
696	5380	6482
697	5389	6497
698	5396	6510
699	5404	6518
700	5404	6520
701	5410	6531
702	5420	6544
703	5429	6550
704	5432	6559
705	5433	6573
706	5438	6592
707	5444	6605
708	5444	6611
709	5454	6630
710	5461	6651
711	5464	6661
712	5470	6677
713	5468	6669
714	5481	6689
715	5482	6692
716	5488	6697
717	5492	6688
718	5500	6691
719	5504	6705
720	5507	6718
721	5504	6713
722	5509	6707
723	5510	6710
724	5526	6725
725	5533	6732
726	5533	6733
727	5532	6735
728	5538	6732
729	5539	6735
730	5552	6751
731	5552	6754
732	5565	6770
733	5569	6779
734	5583	6787
735	5588	6796
736	5582	6802
737	5579	6808
738	5577	6802
739	5582	6811
740	5597	6823
741	5591	6821
742	5598	6826
743	5601	6846
744	5609	6861
745	5613	6865
746	5617	6877
747	5618	6876
748	5619	6872
749	5613	6863
750	5619	6877
751	5621	6887
752	5639	6909
753	5642	6903
754	5639	6910
755	5647	6925
756	5654	6937
757	5660	6941
758	5656	6939
759	5661	6936
760	5657	6928
761	5660	6919
762	5657	6931
763	5658	6932
764	5658	6934
765	5659	6936
766	5658	6947
767	5667	6952
768	5666	6949
769	5663	6943
770	5666	6952
771	5668	6946
772	5665	6941
773	5648	6929
774	5642	6916
775	5640	6921
776	5642	6914
777	5645	6912
778	5639	6894
779	5640	6898
780	5632	6886
781	5627	6891
782	5629	6896
783	5622	6890
784	5607	6880
785	5605	6874
786	5601	6857
787	5605	6869
788	5604	6867
789	5598	6858
790	5597	6856
791	5597	6851
792	5596	6842
793	5595	6854
794	5591	6861
795	5595	6865
796	5602	6873
797	5604	6873
798	5606	6874
799	5600	6875
800	5602	6864
801	5601	6868
802	5600	6871
803	5603	6863
804	5601	6868
805	5602	6866
806	5588	6850
807	5599	6850
808	5592	6838
809	5586	6826
810	5584	6820
811	5580	6805
812	5580	6804
813	5572	6801
814	5561	6792
815	5548	6766
816	5552	6770
817	5556	6772
818	5546	6771
819	5536	6763
820	5529	6768
821	5517	6758
822	5507	6740
823	5501	6733
824	5497	6739
825	5506	6737
826	5499	6732
827	5491	6724
828	5489	6717
829	5480	6698
830	5477	6690
831	5457	6671
832	5460	6663
833	5454	6656
834	5449	6640
835	5446	6639
836	5443	6643
837	5447	6643
838	5439	6635
839	5433	6636
840	5434	6624
841	5421	6591
842	5417	6582
843	5412	6572
844	5414	6576
845	5402	6559
846	5399	6552
847	5400	6541
848	5391	6537
849	5388	6532
850	5383	6518
851	5384	6509
852	5379	6502
853	5375	6510
854	5377	6504
855	5372	6495
856	5366	6479
857	5366	6479
858	5363	6482
